titles,years,genres,imdb,runtime,description,stars,votes,type,original
The Devil All the Time,2020,"Crime, Drama, Thriller",7.1,138 min,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,"Antonio Campos, Donald Ray Pollock, Bill Skarsgård, Tom Holland, Michael Banks Repeta","71,379",Movie,Netflix
The Decline,2020,"Action, Thriller",5.9,83 min,A fatal accident at a remote survivalist training camp sends participants into a panic - and sets the stage for a chilling showdown.,"Patrice Laliberté, Guillaume Laurin, Marie-Evelyne Lessard, Réal Bossé, Marc Beaupré","6,387",Movie,Netflix
The Death & Life of John F. Donovan,2018,Drama,6.1,123 min,"A decade after the death of an American television star, a young actor reminisces about the written correspondence he shared with him, as well as the impact those letters had on both their lives.","Xavier Dolan, Kit Harington, Natalie Portman, Jacob Tremblay, Susan Sarandon","5,116",Movie,Netflix
The Crystal Calls - Making the Dark Crystal: Age of Resistance,2019,Documentary,7.6,82 min,"The Crystal Calls: Making The Dark Crystal: Age of Resistance takes viewers behind the scenes of a new world with unprecedented access, revealing the vision, artistry and talent required to bring an entirely handcrafted universe to life.","Randall Lobb, Taron Egerton, Stephen Christy, Natalie Dormer, Jeffrey Addiss",437,Movie,Netflix
The Crimes That Bind,2020,"Crime, Drama, Thriller",6.6,99 min,"Desperate and confused, Alicia will do the impossible to keep her son from prison after he's convicted of trying to murder his ex-wife.","Sebastián Schindel, Cecilia Roth, Miguel Ángel Solá, Benjamín Amadeo, Sofía Gala Castiglione","2,679",Movie,Netflix
The Cloverfield Paradox,2018,"Action, Adventure, Horror",5.5,102 min,"Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.","Julius Onah, Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl, John Ortiz","93,841",Movie,Netflix
The Christmas Chronicles,2018,"Adventure, Comedy, Family",7.1,104 min,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.","Clay Kaytis, Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson","43,731",Movie,Netflix
The Boys in the Band,2020,Drama,6.8,121 min,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.","Joe Mantello, Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells","8,644",Movie,Netflix
The Bleeding Edge,2018,Documentary,7.7,99 min,A look at the unforeseen consequences of advanced technological devices used in the medical field.,"Kirby Dick, Robert Bridges, Angie Firmalino, Rita Redberg, Stephen Tower","2,098",Movie,Netflix
The Black Godfather,2019,Documentary,7.4,118 min,"Follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.","Reginald Hudlin, Clarence Avant, Hank Aaron, Gwen Adolph, Dina R. Andrews",975,Movie,Netflix
The Binding,2020,"Drama, Horror, Thriller",4.6,93 min,"While visiting her fiancé's mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter.","Domenico Emanuele de Feudis, Riccardo Scamarcio, Mía Maestro, Giulia Patrignani, Mariella Lo Sardo","1,942",Movie,Netflix
The Battered Bastards of Baseball,2014,"Documentary, Sport",8,80 min,"In 1973, Hollywood actor Bing Russell starts an independent minor league baseball team in Portland consisting of outcasts and misfits, and turns them into unlikely overnight success.","Chapman Way, Maclain Way, Todd Field, Kurt Russell, Rob Nelson, Jim Swanson","3,157",Movie,Netflix
The Ballad of Buster Scruggs,2018,"Comedy, Drama, Musical",7.3,133 min,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","Ethan Coen, Joel Coen, Tim Blake Nelson, Willie Watson, Clancy Brown, Danny McCarthy","118,068",Movie,Netflix
The Babysitter: Killer Queen,2020,"Comedy, Horror",5.8,101 min,"Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.","McG, Judah Lewis, Samara Weaving, Jenna Ortega, Emily Alyn Lind","22,778",Movie,Netflix
The Babysitter,2017,"Comedy, Horror",6.3,85 min,The events of one evening take an unexpected turn for the worst for a young boy trying to spy on his babysitter.,"McG, Judah Lewis, Samara Weaving, Robbie Amell, Hana Mae Lee","70,549",Movie,Netflix
The App,2019,"Drama, Sci-Fi, Thriller",2.6,78 min,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral.","Elisa Fuksas, Salvatore Costa, Vincenzo Crea, Jessica Cressy, Maurizio Di Carmine","1,080",Movie,Netflix
The Angel,2018,"Drama, Thriller",6.6,114 min,Based on NYT bestselling book 'The Angel: The Egyptian Spy Who Saved Israel' by Uri Bar-Joseph.,"Ariel Vromen, Toby Kebbell, Marwan Kenzari, Hannah Ware, Waleed Zuaiter","11,490",Movie,Netflix
The American Meme,2018,Documentary,7.1,98 min,"Social media stars Paris Hilton, Josh Ostrovsky, Brittany Furlan and Kirill Bichutsky hustle to build online empires - and face the pitfalls of fame.","Bert Marcus, Kirill Bichutsky, Hailey Bieber, Amanda Cerny, Dane Cook","9,596",Movie,Netflix
The After Party,2018,"Comedy, Music",5.8,120 min,"When an aspiring rapper goes viral for all the wrong reasons, he thinks his career is over. But when his best friend gets them into a wild NYC after party, he gets one more chance to make the impossible happen.","Ian Edelman, Harrison Holzer, Kyle, Jordan Rock, Robbie Dema","3,611",Movie,Netflix
Tell Me Who I Am,2019,"Documentary, Drama, Mystery",7.6,86 min,"After losing his memory in an accident, Alex Lewis trusts his twin brother, Marcus, to tell him about his past only to discover that he's hiding a dark secret about their childhood.","Ed Perkins, Andrew Caley, Alex Lewis, Marcus Lewis, Evan Milton","10,151",Movie,Netflix
Team Foxcatcher,2016,"Documentary, Biography, Crime",7.3,90 min,"Documentary filmmaker Jon Greenhalgh examines the life of Dave Schultz, a professional wrestler who was part of 'Team Foxcatcher', funded by multi-millionaire John du Pont.","Jon Greenhalgh, Dan Chaid, John du Pont, Dave Schultz, Mark Schultz","5,029",Movie,Netflix
Tau,2018,"Sci-Fi, Thriller",5.8,97 min,"A woman is held captive by a scientist in a futuristic smart house, and hopes to escape by reasoning with the Artificial Intelligence that controls the house.","Federico D'Alessandro, Maika Monroe, Ed Skrein, Gary Oldman, Fiston Barek","26,105",Movie,Netflix
Tallulah,2016,"Comedy, Drama, Romance",6.7,111 min,"Desperate to be rid of her toddler, a dissatisfied Manhattan housewife hires a stranger to babysit and ends up getting much more than she bargained for.","Sian Heder, Ellen Page, Allison Janney, Tammy Blanchard, Evan Jonigkeit","17,589",Movie,Netflix
Take the 10,2017,Comedy,4.7,80 min,"A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire.","Chester Tam, Josh Peck, Tony Revolori, Kevin Corrigan, Chester Tam","2,723",Movie,Netflix
Take Your Pills,2018,Documentary,6.4,87 min,"Every era gets the drug it deserves. In America today, where competition is ceaseless from school to the workforce and everyone wants a performance edge, Adderall and other prescription stimulants are the defining drugs of this generation.","Alison Klayman, Ariana, Delaney, Jasper Holt-Teza, Leigh","4,299",Movie,Netflix
Swearnet Live,2014,Comedy,4.6,75 min,"The actors who play the ""trailer park boys"", host a ""live"" show to launch their new online video website.","Mike Smith, John Paul Tremblay, Robb Wells, Jeremy Harty, Gary Howsam, John Paul Tremblay, Robb Wells, Mike Smith, Patrick Roach",454,Movie,Netflix
Sugar Rush,2019,"Action, Comedy",6.7,120 min,"The Sugar Sisters discover a whopping $800,000, the financial crimes commission and the supposed owners of the money come for them. Now they team up with unlikely allies and it's a race against the clock to set things right.","Kayode Kasum, Bimbo Ademoye, Bisola Aiyeola, Uzor Arukwe, Tobi Bakre",62,Movie,Netflix
Struggle: The Life and Lost Art of Szukalski,2018,Documentary,8,115 min,"This documentary chronicles the life of Polish-American artist Stanislav Szukalski (1893-1987) from his early years in Chicago, to his time in Poland and Los Angeles, and his artistic and political contributions to the world.","Irek Dobrowolski, Stanislav Szukalski, Glenn Bray, Robert Williams, Suzanne Williams","2,962",Movie,Netflix
Strong Island,2017,Documentary,6.4,107 min,"When filmmaker Yance Ford investigates the 1992 murder of a young black man, it becomes an achingly personal journey since the victim, 24-year-old William Ford Jr., was the filmmaker's brother.","Yance Ford, Yance Ford, Harvey Walker, Kevin Myers, Lauren Ford","3,455",Movie,Netflix
Street Flow,2019,Crime,6.4,96 min,Three brothers try to survive on the streets of a tough French suburb.,"Kery James, Leïla Sy, Kery James, Jammeh Diangana, Bakary Diombera, Chloé Jouannet","1,140",Movie,Netflix
Step Sisters,2018,Comedy,5.4,108 min,"To get the college dean's backing for Harvard, Jamilah has to teach girls at a white sorority to step dance.","Charles Stone III, Megalyn Echikunwoke, Eden Sher, Lyndon Smith, Gage Golightly","3,975",Movie,Netflix
Spenser Confidential,2020,"Action, Comedy, Crime",6.2,111 min,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals.","Peter Berg, Mark Wahlberg, Winston Duke, Alan Arkin, Iliza Shlesinger","64,419",Movie,Netflix
Spelling the Dream,2020,Documentary,6.9,82 min,Chronicle of the ups and downs of four Indian-American students as they compete to realize their dream of winning the iconic tournament.,"Sam Rega, Srinivas Ayyagari, Jacques Bailly, Valerie Browning, Ratnam Chitturi",579,Movie,Netflix
Spectral,2016,"Action, Adventure, Sci-Fi",6.3,107 min,A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,"Nic Mathieu, James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini","51,116",Movie,Netflix
Special Correspondents,2016,Comedy,5.8,101 min,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,"Ricky Gervais, Ricky Gervais, Eric Bana, Vera Farmiga, Kelly Macdonald","20,384",Movie,Netflix
Soni,2018,Drama,7.2,97 min,"While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.","Ivan Ayr, Geetika Vidya Ohlyan, Saloni Batra, Vikas Shukla, Mohit Chauhan","2,280",Movie,Netflix
Sometimes,2016,Drama,7.2,110 min,"Seven People anxiously wait for their HIV results in a clinic, bribe a clinical staff to know their results in advance. What is the result ?","Priyadarshan, Prakash Raj, Ashok Selvan, Nassar, Shreya Reddy",647,Movie,Netflix
Someone Great,2019,"Comedy, Romance",6.2,92 min,"After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship.","Jennifer Kaytin Robinson, Gina Rodriguez, LaKeith Stanfield, Brittany Snow, DeWanda Wise","17,110",Movie,Netflix
Small Crimes,2017,"Crime, Drama, Thriller",5.8,95 min,"A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind.","E.L. Katz, Nikolaj Coster-Waldau, Robert Forster, Jacki Weaver, Molly Parker","6,682",Movie,Netflix
Sky Ladder: The Art of Cai Guo-Qiang,2016,Documentary,7.3,76 min,"Trace the rise of contemporary artist Cai Guo-Qiang from childhood in Mao's China to global art world superstar, and join his quest to realize his lifelong obsession: Sky Ladder.","Kevin Macdonald, Ian Buruma, Guo-Qiang Cai, Wen-You Cai, Wenhao Cai","1,127",Movie,Netflix
Sierra Burgess Is a Loser,2018,"Comedy, Drama, Romance",5.8,105 min,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,"Ian Samuels, Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo","34,067",Movie,Netflix
Shirkers,2018,Documentary,7.4,97 min,A woman explores the events surrounding a film she and her friends began making with a mysterious stranger decades ago.,"Sandi Tan, Sandi Tan, Jasmine Kin Kia Ng, Philip Cheah, Sophia Siddique Harvey","4,241",Movie,Netflix
Shimmer Lake,2017,"Crime, Drama, Mystery",6.3,86 min,An inventive crime thriller told backwards -- reversing day by day through a week -- following a local sheriff's quest to unlock the mystery of three small town criminals and a bank heist gone wrong.,"Oren Uziel, Benjamin Walker, Rainn Wilson, Stephanie Sigman, John Michael Higgins","11,214",Movie,Netflix
Sextuplets,2019,Comedy,4.4,97 min,"Father-to-be Alan is shocked to learn that he was born a sextuplet. With his newfound brother Russell riding shotgun, the duo sets out on a hilarious journey to reunite with their remaining long-lost siblings.","Michael Tiddes, Marlon Wayans, Bresha Webb, Michael Ian Black, Glynn Turman","7,064",Movie,Netflix
Seventeen,2019,Drama,7.2,99 min,"To find a shelter dog he befriended, a 17-year-old boy escapes a juvenile detention center and is joined on his quest by his older brother.","Daniel Sánchez Arévalo, Biel Montoro, Nacho Sánchez, Lola Cordón, Itsaso Arana","2,969",Movie,Netflix
Set It Up,2018,"Comedy, Romance",6.5,105 min,Two corporate executive assistants hatch a plan to match-make their two bosses.,"Claire Scanlon, Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs","41,183",Movie,Netflix
Seriously Single,2020,"Comedy, Romance",4.3,107 min,Dineo is the definition of serial monogamist. She dates to fall in love; she falls in love to get married. But she never gets married. She always ends up being dumped. When she meets Lunga ... See full summary »,"Katleho Ramaphakela, Rethabile Ramaphakela, Fulu Mugovhani, Tumi Morake, Bohang Moeko, Yonda Thomas",974,Movie,Netflix
Serious Men,2020,"Comedy, Drama",6.9,114 min,"Tormented with his 'under-privileged' societal status, a father capitalizes on his son's newfound fame as a boy-genius. Little does he realize that the secret he harbors will destroy the very thing he loves the most.","Sudhir Mishra, Nawazuddin Siddiqui, Nassar, Aakshath Das, Indira Tiwari","4,350",Movie,Netflix
Sergio,2020,"Biography, Drama, History",6.1,118 min,"A sweeping drama set in the chaotic aftermath of the US invasion of Iraq, where the life of top UN diplomat Sergio Vieira de Mello hangs in the balance during the most treacherous mission of his career.","Greg Barker, Wagner Moura, Ana de Armas, Brían F. O'Byrne, Bradley Whitford","7,583",Movie,Netflix
Seeing Allred,2018,Documentary,6.9,96 min,Women's rights attorney Gloria Allred takes on the biggest names in American culture as coverage of sexual assault allegations in the media become more prevalent.,"Roberta Grossman, Sophie Sartain, Gloria Allred, Lisa Bloom, Bill Cosby, Roy Moore",996,Movie,Netflix
See You Yesterday,2019,"Action, Adventure, Crime",5.1,84 min,"Two Brooklyn teenage prodigies, C.J. Walker and Sebastian Thomas, build makeshift time machines to save C.J.'s brother, Calvin, from being wrongfully killed by a police officer.","Stefon Bristol, Eden Duncan-Smith, Dante Crichlow, Astro, Marsha Stephanie Blake","8,823",Movie,Netflix
Secrets of the Saqqara Tomb,2020,Documentary,7.3,113 min,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the astonishing find.","James Tovell, Ghareeb Ali Mohammed Abushousha, Nabil Eldaleel, Sabry Mohyeldin Farag, Salima Ikram","2,668",Movie,Netflix
Secret Obsession,2019,"Drama, Mystery, Thriller",4.3,97 min,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.","Peter Sullivan, Brenda Song, Mike Vogel, Dennis Haysbert, Ashley Scott","17,512",Movie,Netflix
Saving Capitalism,2017,Documentary,6.8,73 min,"SAVING CAPITALISM is a documentary film that follows former Secretary of Labor and Professor, Robert Reich, as he takes his book and his views to the heart of conservative America to speak ... See full summary »","Jacob Kornbluth, Sari Gilman, Robert Reich, Darvin Bentlage, Annie Presley, Guadalupe","2,555",Movie,Netflix
Sandy Wexler,2017,Comedy,5.2,130 min,"Sandy Wexler is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business.","Steven Brill, Adam Sandler, Jennifer Hudson, Kevin James, Colin Quinn","14,478",Movie,Netflix
Sand Castle,2017,"Action, Drama, War",6.3,113 min,"The story follows a young soldier, and his introduction into the 2003 invasion of Iraq. Based on true events, it bears witness to the destruction, and horrors of war.","Fernando Coimbra, Nicholas Hoult, Logan Marshall-Green, Henry Cavill, Glen Powell","18,943",Movie,Netflix
Roxanne Roxanne,2017,"Biography, Drama, Music",6.2,100 min,"In the late 80s/ early 1990s, the most feared battle MC in Queens, New York, was a fierce teenage girl with the weight of the world on her shoulders. At the age of 14, Lolita ""Roxanne ... See full summary »","Michael Larnell, Chanté Adams, Nia Long, Mahershala Ali, Germar Terrell Gardner","2,692",Movie,Netflix
Roma,2018,Drama,7.7,135 min,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,"Alfonso Cuarón, Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta","136,963",Movie,Netflix
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,"Documentary, Biography, History",7.6,142 min,"In an alchemic mix of fact and fantasy, Martin Scorsese looks back at Bob Dylan's 1975 Rolling Thunder Revue tour and a country ripe for reinvention.","Martin Scorsese, Bob Dylan, Allen Ginsberg, Patti Smith, Martin von Haselberg","5,080",Movie,Netflix
Rogue City,2020,"Action, Crime, Drama",6.1,116 min,"Caught in the cross hairs of police corruption and Marseille's warring gangs, a loyal cop must protect his squad by taking matters into his own hands.","Olivier Marchal, Lannick Gautry, Stanislas Merhar, Kaaris, David Belle","3,355",Movie,Netflix
Road to Roma,2020,Documentary,7.7,72 min,Director Alfonso Cuaron reflects on the creative decisions behind ROMA.,"Andres Clariond, Gabriel Nuncio, Yalitza Aparicio, Odín Ayala, Eugenio Caballero, Zarela Lizbeth Chinolla Arellano",448,Movie,Netflix
Rising Phoenix,2020,"Documentary, Sport",8.1,105 min,"The history and current standing of the Paralympic Games, which has grown to become the world's third largest sporting event.","Ian Bonhôte, Peter Ettedgui, Prince Harry, Tatyana McFadden, Bebe Vio, Ntando Mahlangu",933,Movie,Netflix
Rising High,2020,"Comedy, Drama",5.7,94 min,"Charting the rise and fall of three corrupt real estate agents who accumulate absurd wealth in no time but fall into a vortex of fraud, greed and drugs.","Cüneyt Kaya, David Kross, Emily Goss, Frederick Lau, Janina Uhse","3,614",Movie,Netflix
Rim of the World,2019,"Action, Adventure, Comedy",5.2,98 min,Four misfit campers must band together and conquer their fears in order to save the world during an alien invasion.,"McG, Jack Gore, Miya Cech, Benjamin Flores Jr., Alessio Scalzotto","18,354",Movie,Netflix
Ricos de Amor,2020,"Comedy, Romance",5.7,104 min,"Rich kid Teto is determined to prove himself to Paula, his love interest. But when he tells her he grew up poor, the lie spins out of control.","Bruno Garotti, Danilo Mesquita, Giovanna Lancellotti, Jaffar Bambirra, Lellê","1,831",Movie,Netflix
Reversing Roe,2018,Documentary,7.4,99 min,"A deep historical look at one of the most controversial issues of our time, highlighting the abortion debate from various points along the ideological spectrum in a winding story of abortion in America.","Ricki Stern, Anne Sundberg, Donna Howard, John Seago, Brigitte Amiri, Troy Newman",994,Movie,Netflix
Recovery Boys,2018,Documentary,6.5,89 min,"In the heart of America's opioid epidemic, four men attempt to reinvent their lives and reenter society sober after years of drug abuse. Recovery Boys, from Academy Award nominated director... See full summary »",Elaine McMillion Sheldon,593,Movie,Netflix
Rebirth,2016,Thriller,5,100 min,He's a family man headed for a weekend of self-discovery. But it's about to turn into a nightmare with no escape.,"Karl Mueller, Fran Kranz, Adam Goldberg, Nicky Whelan, Kat Foster","4,286",Movie,Netflix
Rebecca,2020,"Drama, Mystery, Romance",6,121 min,"A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.","Ben Wheatley, Lily James, Armie Hammer, Kristin Scott Thomas, Keeley Hawes","19,411",Movie,Netflix
Rattlesnake,2019,"Drama, Horror, Mystery",4.6,85 min,"When a single mother accepts the help of a mysterious woman after her daughter is bitten by a rattlesnake, she finds herself making an unthinkable deal with the devil to repay the stranger.","Zak Hilditch, Carmen Ejogo, Theo Rossi, Emma Greenwell, Apollonia Pratt","7,142",Movie,Netflix
Rajma Chawal,2018,"Comedy, Drama, Family",5.8,117 min,An internet-rookie father attempts to use social media to enhance his faltering relationship with his millennial son.,"Leena Yadav, Rishi Kapoor, Sheeba Chaddha, Amyra Dastur, Mukesh Chhabra","1,608",Movie,Netflix
Raat Akeli Hai,2020,"Crime, Drama, Mystery",7.3,149 min,The film follows a small town cop who is summoned to investigate the death of a politician which gets complicated by the victim's secretive family and his own conflicted heart.,"Honey Trehan, Nawazuddin Siddiqui, Radhika Apte, Aditya Srivastav, Padmavati Rao","12,701",Movie,Netflix
Quincy,2018,"Documentary, Biography",7.6,124 min,"An intimate look into the life of icon Quincy Jones. A unique force in music and popular culture for 70 years, Jones has transcended racial and cultural boundaries; his story is inextricably woven into the fabric of America.","Alan Hicks, Rashida Jones, Quincy Jones, Rashida Jones, Kareem Abdul-Jabbar, Clarence Avant","3,457",Movie,Netflix
Project Power,2020,"Action, Crime, Sci-Fi",6,113 min,"When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.","Henry Joost, Ariel Schulman, Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro","61,297",Movie,Netflix
Private Life,2018,"Comedy, Drama",7.2,123 min,"An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge.","Tamara Jenkins, Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ","15,112",Movie,Netflix
Print the Legend,2014,"Documentary, Biography, Drama",7,100 min,"Follows the people racing to bring the hot new 3D printing technology to your home, documenting the ""Macintosh Moment"" of this revolution and exploring what it takes to live the American Dream.","Luis Lopez, Clay Tweel, Chris Anderson, Bruce Bradshaw, Craig Broady, Bill Buel","1,841",Movie,Netflix
Polar,2019,"Action, Crime, Drama",6.3,118 min,"A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.","Jonas Åkerlund, Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren","72,669",Movie,Netflix
Point Blank,2019,"Action, Crime, Drama",5.7,86 min,An ER nurse and a career criminal are forced into an unlikely partnership in taking down a ring of corrupt cops threatening the lives of both their families.,"Joe Lynch, Frank Grillo, Stuart F. Wilson, Buster Reeves, Christian Cooke","11,307",Movie,Netflix
Pee-wee's Big Holiday,2016,"Comedy, Family",6.1,90 min,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.,"John Lee, Paul Reubens, Jordan Black, Doug Cox, Linda Porter","7,139",Movie,Netflix
Paris Is Us,2019,Drama,4.6,83 min,Anna misses the flight she should have taken to find Greg in Barcelona. The plane crashes.,"Elisabeth Vogler, Noémie Schmidt, Grégoire Isvarine, Marie Mottet, Lou Castel","1,212",Movie,Netflix
Parchís: The Documentary,2019,Documentary,6.7,106 min,"A documentary about the rise and fall of the Spanish children's music group, Parchis.","Daniel Arasanz, Eva Mariol, Imma Cabecerans, Joaquín Oristrell, Ángel Arroyo",483,Movie,Netflix
Paradox,2018,"Fantasy, Music",3.9,73 min,A group of outlaws search for a mountain treasure and experience the supernatural powers of a full moon.,"Daryl Hannah, Neil Young, Lukas Nelson, Micah Nelson, Corey McCormick",602,Movie,Netflix
Paddleton,2019,"Comedy, Drama",7.2,89 min,An unlikely friendship between two misfit neighbors becomes an unexpectedly emotional journey when the younger man is diagnosed with terminal cancer.,"Alex Lehmann, Christine Woods, Mark Duplass, Ray Romano, Jen Sung","10,608",Movie,Netflix
Over the Moon,2020,"Animation, Adventure, Comedy",6.6,95 min,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.","Glen Keane, John Kahrs, Glen Keane, Brycen Hall, Ruthie Ann Miles, John Cho","6,677",Movie,Netflix
Outlaw King,2018,"Action, Biography, Drama",6.9,121 min,A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.,"David Mackenzie, Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle","58,006",Movie,Netflix
Our Souls at Night,2017,"Drama, Romance",6.9,103 min,"Fonda and Redford star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbor.","Ritesh Batra, Robert Redford, Jane Fonda, Matthias Schoenaerts, Iain Armitage","10,957",Movie,Netflix
Otherhood,2019,Comedy,6.1,100 min,"A grounded, soulful, celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood, Otherhood, when you have to redefine your relationship with your children, friends, spouse, and most importantly, yourself.","Cindy Chupack, Angela Bassett, Patricia Arquette, Felicity Huffman, Jake Hoffman","8,833",Movie,Netflix
One of Us,2017,Documentary,7.1,95 min,"Penetrating the insular world of New York's Hasidic community, focusing on three individuals driven to break away despite threats of retaliation.","Heidi Ewing, Rachel Grady, Etty, Chani Getter, Ari Hershkowitz, Luzer Twersky","5,601",Movie,Netflix
One Take,2020,,5.6,85 min,Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.,Jiradapa Intajak,43,Movie,Netflix
On My Skin: The Last Seven Days of Stefano Cucchi,2018,"Biography, Drama",7.3,100 min,"The incredible true story behind the most controversial Italian court cases in recent years. Stefano Cucchi was arrested for a minor crime but in just one week's time, a family is changed forever.","Alessio Cremonini, Alessandro Borghi, Massimiliano Tortora, Milvia Marigliano, Jasmine Trinca","7,299",Movie,Netflix
Okja,2017,"Action, Adventure, Drama",7.3,120 min,"A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.","Bong Joon Ho, Tilda Swinton, Paul Dano, Seo-hyun Ahn, Jake Gyllenhaal","101,745",Movie,Netflix
Offering to the Storm,2020,"Crime, Thriller",6.1,139 min,Inspector Amaia Salazar confronts the origins of her nightmares as she unfolds the darkest secrets of the Baztan valley.,"Fernando González Molina, Marta Etura, Leonardo Sbaraglia, Nene, Francesc Orella","3,623",Movie,Netflix
Octonauts and the Caves of Sac Actun,2020,"Animation, Adventure, Comedy",6.4,72 min,"The Octonauts embark on an underwater adventure, navigating a set of challenging caves to help a small octopus friend return home to the Caribbean Sea.","Blair Simmons, Teresa Gallagher, Simon Greenall, Michael Murphy, Paul Panting",86,Movie,Netflix
Octonauts & the Great Barrier Reef,2020,"Animation, Action, Adventure",6.8,47 min,Octonauts must find a way to hold back hungry swarms of coral eating starfish to save a new friend's fragile reef home.,"Blair Simmons, Paul Buckley, Simon Foster, Teresa Gallagher, Simon Greenall",43,Movie,Netflix
Nobody Speak: Trials of the Free Press,2017,Documentary,6.5,95 min,"The trial between Hulk Hogan and Gawker Media pitted privacy rights against freedom of the press, and raised important questions about how big money can silence media. This film is an ... See full summary »","Brian Knappenberger, A.J. Daulerio, Hulk Hogan, Charles Harder, David Folkenflik","3,619",Movie,Netflix
Nobody Sleeps in the Woods Tonight,2020,"Horror, Thriller",4.8,102 min,A slasher film where a group of teenagers arrive at a survival camp where they clash with two deformed cannibals.,"Bartosz M. Kowalski, Julia Wieniawa-Narkiewicz, Michal Lupa, Wiktoria Gasiewska, Stanislaw Cywka","4,424",Movie,Netflix
Nobody Knows I'm Here,2020,"Drama, Music",6.4,91 min,"Memo lives on a remote Chilean sheep farm, hiding a beautiful singing voice from the outside world. A recluse with a glittery flair, he can't stop dwelling on the past, but what will happen once someone finally listens?","Gaspar Antillo, Jorge Garcia, Lukas Vergara, Millaray Lobos, Luis Gnecco","2,943",Movie,Netflix
Night on Earth: Shot in the Dark,2020,Documentary,7.9,59 min,"This look behind the scenes shows how worldwide camera crews climbed, dived and froze to capture the documentary's groundbreaking night footage.""","Beren Saat, Samira Wiley",58,Movie,Netflix
